schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0112,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T18:25:00+00:00,2026-01-07T19:45:00+00:00,
TEXTILE-SCHEDULE-0113,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T19:45:00+00:00,2026-01-07T21:05:00+00:00,
TEXTILE-SCHEDULE-0114,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-07T21:05:00+00:00,2026-01-07T22:05:00+00:00,SMOOTH ELASTIC(A)
TEXTILE-SCHEDULE-0115,MAQ119,Ironing,Ironing TM2,2026-01-07T22:15:00+00:00,2026-01-07T22:20:00+00:00,ESTORE RIBBON
TEXTILE-SCHEDULE-0116,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T23:35:00+00:00,2026-01-08T00:55:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0117,MAQ119,Ironing,Ironing TM2,2026-01-08T01:10:00+00:00,2026-01-08T01:15:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0118,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-08T02:10:00+00:00,2026-01-08T03:10:00+00:00,
TEXTILE-SCHEDULE-0119,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T03:10:00+00:00,2026-01-08T04:30:00+00:00,
TEXTILE-SCHEDULE-0120,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T04:40:00+00:00,2026-01-08T06:00:00+00:00,
TEXTILE-SCHEDULE-0121,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T06:05:00+00:00,2026-01-08T07:25:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0122,MAQ119,Ironing,Ironing TM2,2026-01-08T07:25:00+00:00,2026-01-08T07:30:00+00:00,
TEXTILE-SCHEDULE-0123,MAQ119,Ironing,Ironing TM2,2026-01-08T08:20:00+00:00,2026-01-08T08:25:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0124,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T09:10:00+00:00,2026-01-08T10:30:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0125,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T10:40:00+00:00,2026-01-08T12:00:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0126,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T13:40:00+00:00,2026-01-08T15:00:00+00:00,
TEXTILE-SCHEDULE-0127,MAQ119,Ironing,Ironing TM2,2026-01-08T15:05:00+00:00,2026-01-08T15:10:00+00:00,WOVEN LABEL OURELA CUT
TEXTILE-SCHEDULE-0128,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T15:50:00+00:00,2026-01-08T17:10:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0129,MAQ119,Harden[1.5],Harden[1.5] TM1,2026-01-08T17:55:00+00:00,2026-01-08T20:00:00+00:00,
TEXTILE-SCHEDULE-0130,MAQ119,Ironing,Ironing TM2,2026-01-08T20:10:00+00:00,2026-01-08T20:15:00+00:00,SMOOTH STRAP(A)
TEXTILE-SCHEDULE-0131,MAQ119,Ironing,Ironing TM2,2026-01-08T21:45:00+00:00,2026-01-08T21:50:00+00:00,WOVEN LABEL OURELA CUT
TEXTILE-SCHEDULE-0132,MAQ119,Harden[1],Harden[1] TM1,2026-01-08T22:30:00+00:00,2026-01-08T23:50:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0133,MAQ119,Ironing,Ironing TM2,2026-01-08T23:50:00+00:00,2026-01-08T23:55:00+00:00,ELASTIC W/ INSCR
TEXTILE-SCHEDULE-0134,MAQ119,Harden[1],Harden[1] TM1,2026-01-09T00:35:00+00:00,2026-01-09T01:55:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0135,MAQ119,Harden[1],Harden[1] TM1,2026-01-09T02:05:00+00:00,2026-01-09T03:25:00+00:00,WOVEN LABEL OURELA CUT
TEXTILE-SCHEDULE-0136,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-09T03:25:00+00:00,2026-01-09T04:25:00+00:00,
TEXTILE-SCHEDULE-0137,MAQ119,Harden[1],Harden[1] TM1,2026-01-09T04:25:00+00:00,2026-01-09T05:45:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0138,MAQ120,Ironing,Ironing TM1,2026-01-05T07:05:00+00:00,2026-01-05T07:50:00+00:00,
TEXTILE-SCHEDULE-0139,MAQ120,Ironing,Ironing TM1,2026-01-05T07:50:00+00:00,2026-01-05T08:35:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0140,MAQ120,Ironing,Ironing TM1,2026-01-05T09:20:00+00:00,2026-01-05T10:05:00+00:00,
TEXTILE-SCHEDULE-0141,MAQ120,Ironing,Ironing TM1,2026-01-05T10:05:00+00:00,2026-01-05T10:50:00+00:00,
TEXTILE-SCHEDULE-0142,MAQ120,Ironing,Ironing TM1,2026-01-05T10:50:00+00:00,2026-01-05T11:35:00+00:00,GORGORÃO RIBBON W/ INSCR
TEXTILE-SCHEDULE-0143,MAQ120,Ironing,Ironing TM1,2026-01-05T11:35:00+00:00,2026-01-05T12:20:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0144,MAQ120,Ironing,Ironing TM1,2026-01-05T12:20:00+00:00,2026-01-05T13:05:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0145,MAQ120,Ironing,Ironing TM1,2026-01-05T13:05:00+00:00,2026-01-05T13:50:00+00:00,
TEXTILE-SCHEDULE-0146,MAQ120,Ironing,Ironing TM1,2026-01-05T13:50:00+00:00,2026-01-05T14:35:00+00:00,
